"","x"
"1",0
"2",0
"3",1
"4",0
"5",0
"6",0
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",0
"14",1
"15",0
"16",1
"17",1
"18",1
"19",1
"20",1
"21",0
"22",0
"23",0
"24",1
"25",1
"26",1
"27",1
"28",0
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",0
"41",0
"42",0
"43",1
"44",1
"45",0
"46",1
"47",1
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",1
"57",1
"58",1
"59",0
"60",1
"61",1
"62",0
"63",1
"64",1
"65",1
"66",1
"67",1
"68",0
"69",0
"70",0
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",0
"79",1
"80",1
"81",0
"82",1
"83",1
"84",0
"85",1
"86",0
"87",1
"88",1
"89",1
"90",1
"91",0
"92",0
"93",1
"94",0
"95",0
"96",1
"97",0
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",0
"106",0
"107",0
"108",0
"109",1
"110",1
"111",1
"112",1
"113",0
"114",1
"115",1
"116",0
"117",1
"118",1
"119",1
"120",1
"121",1
"122",0
"123",0
"124",1
"125",1
"126",1
"127",1
"128",1
"129",0
"130",0
"131",0
"132",0
"133",0
"134",1
"135",1
"136",1
"137",0
"138",0
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",1
"160",1
"161",1
"162",0
"163",1
"164",1
"165",1
"166",1
"167",1
"168",0
"169",1
"170",1
"171",1
"172",1
"173",0
"174",1
"175",0
"176",1
"177",0
"178",1
"179",0
"180",0
"181",1
"182",1
"183",0
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",1
"191",0
"192",0
"193",1
"194",1
"195",1
"196",1
"197",1
"198",0
"199",1
"200",1
"201",1
"202",0
"203",1
"204",0
"205",1
"206",1
"207",1
"208",1
"209",1
"210",1
"211",1
"212",1
"213",0
"214",0
"215",0
"216",1
"217",0
"218",0
"219",1
"220",0
"221",0
"222",1
"223",1
"224",0
